FIFA,ISO3166,Name
MNE,MNE,Montenegro
MSR,MSR,Montserrat
MAR,MAR,Morocco
MOZ,MOZ,Mozambique
MYA,MMR,Myanmar
NAM,NAM,Namibia
NRU,NRU,Nauru
NEP,NPL,Nepal
NED,NLD,Netherlands
NCL,NCL,New Caledonia
NZL,NZL,New Zealand
NCA,NIC,Nicaragua
NIG,NER,Niger
NGA,NGA,Nigeria
NIU,NIU,Niue
NFK,NFK,Norfolk Island
NMI,MNP,Northern Mariana Islands
NOR,NOR,Norway
OMA,OMN,Oman
PAK,PAK,Pakistan
PLW,PLW,Palau
PAN,PAN,Panama
PNG,PNG,Papua New Guinea
PAR,PRY,Paraguay
PER,PER,Peru
PHI,PHL,Philippines
PCN,PCN,Pitcairn
POL,POL,Poland
POR,PRT,Portugal
PUR,PRI,Puerto Rico
QAT,QAT,Qatar
KOR,KOR,Republic of Korea
MDA,MDA,Republic of Moldova
ROU,ROU,Romania
RUS,RUS,Russian Federation
RWA,RWA,Rwanda
REU,REU,Réunion
,BLM,Saint Barthélemy
SHN,SHN,Saint Helena
SKN,KNA,Saint Kitts and Nevis
LCA,LCA,Saint Lucia
,MAF,Saint Martin (French Part)
SPM,SPM,Saint Pierre and Miquelon
VIN,VCT,Saint Vincent and the Grenadines
SAM,WSM,Samoa
SMR,SMR,San Marino
STP,STP,Sao Tome and Principe
,,Sark
KSA,SAU,Saudi Arabia
SEN,SEN,Senegal
SRB,SRB,Serbia
SEY,SYC,Seychelles
SLE,SLE,Sierra Leone
SIN,SGP,Singapore
,SXM,Sint Maarten (Dutch part)
SVK,SVK,Slovakia
SVN,SVN,Slovenia
SOL,SLB,Solomon Islands
SOM,SOM,Somalia
RSA,ZAF,South Africa
,SGS,South Georgia and the South Sandwich Islands
,SSD,South Sudan
ESP,ESP,Spain
SRI,LKA,Sri Lanka
PLE,PSE,State of Palestine
SUD,SDN,Sudan
SUR,SUR,Suriname
,SJM,Svalbard and Jan Mayen Islands
SWE,SWE,Sweden
SUI,CHE,Switzerland
SYR,SYR,Syrian Arab Republic
TJK,TJK,Tajikistan
THA,THA,Thailand
MKD,MKD,The former Yugoslav Republic of Macedonia
TLS,TLS,Timor-Leste
TOG,TGO,Togo
TKL,TKL,Tokelau
TGA,TON,Tonga
TRI,TTO,Trinidad and Tobago
TUN,TUN,Tunisia
TUR,TUR,Turkey
TKM,TKM,Turkmenistan
TCA,TCA,Turks and Caicos Islands
TUV,TUV,Tuvalu
UGA,UGA,Uganda
UKR,UKR,Ukraine
UAE,ARE,United Arab Emirates
NIR,GBR,United Kingdom of Great Britain and Northern Ireland
SCO,GBR,United Kingdom of Great Britain and Northern Ireland
WAL,GBR,United Kingdom of Great Britain and Northern Ireland
ENG,GBR,United Kingdom of Great Britain and Northern Ireland
TAN,TZA,United Republic of Tanzania
,UMI,United States Minor Outlying Islands
VIR,VIR,United States Virgin Islands
USA,USA,United States of America
URU,URY,Uruguay
UZB,UZB,Uzbekistan
VAN,VUT,Vanuatu
VEN,VEN,Venezuela (Bolivarian Republic of)
VIE,VNM,Viet Nam
WLF,WLF,Wallis and Futuna Islands
SAH,ESH,Western Sahara
YEM,YEM,Yemen
ZAM,ZMB,Zambia
ZIM,ZWE,Zimbabwe
ALD,ALA,Åland Islands
